"order_id","date_key","merchant_key","product_key","total_sale_amount"
75,20251116,8,77,165.18
75,20251116,8,304,75.69
76,20251204,12,246,111.66
76,20251204,12,443,52.02
77,20251213,8,361,131.98
77,20251213,8,366,120.42
78,20251114,7,42,42.42
78,20251114,7,129,99.88
79,20251104,14,372,154.64
79,20251104,14,375,198.93
80,20251213,8,296,132.34
80,20251213,8,477,78.56
81,20251109,11,323,35.88
81,20251109,11,425,179.86
82,20251105,3,2,323.24
82,20251105,3,393,67.42
83,20251213,18,168,78.12
83,20251213,18,375,52.90
84,20251111,8,197,315.92
84,20251111,8,342,82.89
85,20251026,2,131,402.80
85,20251026,2,258,178.14
86,20251114,18,5,168.45
86,20251114,18,33,62.91
87,20251119,11,173,100.30
87,20251119,11,481,224.64
88,20251209,4,124,14.10
88,20251209,4,165,184.54
89,20251112,6,272,169.48
89,20251112,6,401,51.44
90,20251103,4,309,271.86
90,20251103,4,404,87.34
91,20251127,3,95,49.95
91,20251127,3,272,85.83
92,20251123,7,34,55.56
92,20251123,7,288,49.12
93,20251020,1,352,153.60
93,20251020,1,411,48.72
94,20251210,12,425,29.97
94,20251210,12,489,58.16
95,20251208,9,39,17.40
95,20251208,9,160,152.94
96,20251025,4,275,120.72
96,20251025,4,489,190.30
97,20251211,8,164,376.28
97,20251211,8,382,9.45
98,20251123,9,166,70.68
98,20251123,9,402,118.92
99,20251208,10,152,171.09
99,20251208,10,320,83.04
100,20251124,3,155,379.92
100,20251124,3,214,94.64
101,20251024,7,139,51.65
101,20251024,7,165,413.80
102,20251022,18,84,186.84
102,20251022,18,351,128.97
103,20251111,17,181,65.97
103,20251111,17,375,184.66
104,20251029,2,218,191.76
104,20251029,2,229,208.66
105,20251127,18,292,304.53
105,20251127,18,495,78.78
106,20251205,7,259,226.89
106,20251205,7,315,94.16
107,20251101,2,138,160.40
107,20251101,2,347,18.86
108,20251020,16,150,45.60
108,20251020,16,441,102.95
109,20251206,17,83,187.08
109,20251206,17,308,294.39
110,20251130,17,139,43.16
110,20251130,17,462,123.86
111,20251026,13,153,241.04
111,20251026,13,444,201.74
112,20251027,7,177,53.02
112,20251027,7,361,301.35
113,20251022,7,9,193.84
113,20251022,7,159,206.00
114,20251124,7,129,71.31
114,20251124,7,355,176.79
115,20251019,4,274,102.63
115,20251019,4,327,63.96
116,20251201,2,364,256.80
116,20251201,2,367,250.05
117,20251204,15,116,75.81
117,20251204,15,130,22.29
118,20251212,13,250,93.21
118,20251212,13,436,259.52
119,20251124,11,219,74.46
119,20251124,11,372,103.62
120,20251016,19,59,150.57
120,20251016,19,155,45.12
121,20251024,17,29,212.72
121,20251024,17,476,78.52
122,20251019,8,114,283.11
122,20251019,8,361,66.54
123,20251101,13,484,14.30
123,20251101,13,500,87.03
124,20251030,5,61,100.64
124,20251030,5,278,48.37
125,20251211,12,132,139.96
125,20251211,12,411,128.52
126,20251029,4,84,200.14
126,20251029,4,256,23.46
127,20251106,16,228,33.06
127,20251106,16,456,389.48
128,20251030,20,36,257.52
128,20251030,20,321,30.20
129,20251113,15,358,7.57
129,20251113,15,404,78.46
130,20251111,2,268,253.74
130,20251111,2,470,206.52
131,20251205,11,128,155.24
131,20251205,11,445,163.77
132,20251126,8,48,117.40
132,20251126,8,53,66.82
133,20251023,11,177,104.67
133,20251023,11,274,21.92
134,20251204,5,170,125.32
134,20251204,5,234,118.77
135,20251211,8,61,187.00
135,20251211,8,165,30.00
136,20251114,8,24,375.76
136,20251114,8,291,81.09
137,20251111,2,151,173.58
137,20251111,2,200,193.82
138,20251203,16,249,70.83
138,20251203,16,286,8.99
139,20251105,16,293,33.85
139,20251105,16,423,47.61
140,20251101,3,172,285.48
140,20251101,3,454,235.56
141,20251111,10,99,90.08
141,20251111,10,478,28.24
142,20251210,6,46,128.86
142,20251210,6,288,295.72
143,20251115,17,70,82.06
143,20251115,17,446,205.52
144,20251209,7,107,259.59
144,20251209,7,202,23.92
145,20251202,6,15,91.72
145,20251202,6,123,170.31
146,20251125,3,93,168.40
146,20251125,3,284,156.28
147,20251122,2,17,188.61
147,20251122,2,394,91.92
148,20251027,10,90,129.50
148,20251027,10,186,263.04
149,20251118,6,128,50.55
149,20251118,6,322,144.63
150,20251106,14,121,110.64
150,20251106,14,264,156.84
151,20251017,11,299,59.98
151,20251017,11,488,250.72
152,20251204,14,2,10.69
152,20251204,14,450,44.15
153,20251123,11,211,157.32
153,20251123,11,348,73.82
154,20251213,18,187,267.76
154,20251213,18,364,16.54
155,20251103,5,198,284.64
155,20251103,5,380,31.63
156,20251114,8,163,10.48
156,20251114,8,340,25.95
157,20251211,3,241,226.11
157,20251211,3,293,109.92
158,20251116,4,60,107.34
158,20251116,4,203,10.72
159,20251214,15,411,51.24
159,20251214,15,430,235.02
160,20251115,14,367,85.14
160,20251115,14,474,346.16
161,20251116,7,112,208.80
161,20251116,7,207,14.06
162,20251212,18,187,152.22
162,20251212,18,200,26.61
163,20251107,9,109,165.66
163,20251107,9,473,226.60
164,20251024,15,189,32.76
164,20251024,15,485,91.44
165,20251030,19,234,53.04
165,20251030,19,352,57.64
166,20251020,18,334,152.36
166,20251020,18,455,45.32
167,20251018,15,193,190.70
167,20251018,15,280,215.92
168,20251205,5,179,116.04
168,20251205,5,391,31.68
169,20251126,3,301,161.00
169,20251126,3,319,110.14
170,20251128,18,106,62.40
170,20251128,18,176,44.24
171,20251030,8,148,168.44
171,20251030,8,383,47.78
172,20251211,9,57,75.98
172,20251211,9,265,202.76
173,20251019,4,133,244.29
173,20251019,4,348,207.06
174,20251021,19,409,131.00
174,20251021,19,483,83.14
175,20251210,20,116,160.88
175,20251210,20,389,112.44
176,20251102,7,331,92.74
176,20251102,7,449,274.08
177,20251103,14,313,37.81
177,20251103,14,332,73.48
178,20251020,18,218,265.08
178,20251020,18,387,152.34
179,20251020,7,308,87.20
179,20251020,7,500,125.19
180,20251204,17,67,71.01
180,20251204,17,296,152.90
181,20251120,20,83,95.82
181,20251120,20,118,74.13
182,20251016,20,56,66.46
182,20251016,20,306,43.16
183,20251117,7,188,73.46
183,20251117,7,207,49.95
184,20251122,17,165,66.16
184,20251122,17,355,209.16
185,20251105,16,119,38.27
185,20251105,16,236,194.94
186,20251027,18,33,159.94
186,20251027,18,382,34.59
187,20251105,13,208,90.86
187,20251105,13,364,46.12
188,20251105,3,325,137.74
188,20251105,3,421,95.67
189,20251122,16,196,176.28
189,20251122,16,308,131.12
190,20251205,2,31,170.49
190,20251205,2,51,151.08
191,20251121,5,71,173.97
191,20251121,5,470,160.02
192,20251025,9,217,112.95
192,20251025,9,375,205.80
193,20251106,18,111,200.36
193,20251106,18,294,97.41
194,20251203,11,284,65.82
194,20251203,11,303,75.74
195,20251114,7,61,195.18
195,20251114,7,220,47.42
196,20251204,8,79,215.79
196,20251204,8,244,90.39
197,20251115,6,152,38.52
197,20251115,6,227,38.51
198,20251124,16,265,181.17
198,20251124,16,368,35.48
199,20251206,12,21,171.86
199,20251206,12,398,67.18
200,20251027,7,35,241.96
200,20251027,7,437,162.93
201,20251104,11,65,27.90
201,20251104,11,199,305.82
202,20251106,3,25,66.03
202,20251106,3,447,189.04
203,20251108,12,282,195.60
203,20251108,12,372,231.72
204,20251024,18,115,325.32
204,20251024,18,196,85.78
205,20251016,20,245,107.12
205,20251016,20,374,266.00
206,20251028,18,203,40.92
206,20251028,18,428,47.40
207,20251128,12,43,20.46
207,20251128,12,375,280.48
208,20251130,4,305,33.69
208,20251130,4,312,67.88
209,20251211,2,273,61.16
209,20251211,2,452,163.60
210,20251201,2,160,187.44
210,20251201,2,496,198.52
211,20251119,14,69,192.90
211,20251119,14,256,175.29
212,20251202,9,161,23.85
212,20251202,9,313,162.18
213,20251214,14,110,95.91
213,20251214,14,445,206.16
214,20251207,3,281,295.50
214,20251207,3,418,250.23
215,20251122,4,21,24.29
215,20251122,4,184,112.65
216,20251203,6,68,66.33
216,20251203,6,499,22.20
217,20251126,13,312,136.04
217,20251126,13,317,79.71
218,20251211,17,206,85.54
218,20251211,17,220,255.15
219,20251017,9,76,74.80
219,20251017,9,271,93.87
220,20251115,16,358,146.32
220,20251115,16,363,106.11
221,20251101,16,131,86.35
221,20251101,16,279,135.50
222,20251107,18,65,299.07
222,20251107,18,352,372.12
223,20251019,15,80,11.90
223,20251019,15,224,62.01
224,20251114,10,179,80.76
224,20251114,10,255,292.36
225,20251101,19,98,103.56
225,20251101,19,197,109.80
226,20251209,1,272,31.96
226,20251209,1,277,279.69
227,20251207,10,88,250.59
227,20251207,10,424,175.71
228,20251019,10,20,192.60
228,20251019,10,175,70.10
229,20251118,6,4,101.52
229,20251118,6,177,45.30
230,20251108,8,19,230.44
230,20251108,8,62,71.01
231,20251206,14,34,11.11
231,20251206,14,204,334.00
232,20251102,2,59,36.32
232,20251102,2,367,138.32
233,20251207,18,400,67.22
233,20251207,18,488,70.95
234,20251123,7,43,253.11
234,20251123,7,397,147.96
235,20251106,16,65,75.70
235,20251106,16,245,55.65
236,20251108,13,163,144.44
236,20251108,13,499,41.76
237,20251023,16,132,292.32
237,20251023,16,447,210.87
238,20251203,2,300,268.44
238,20251203,2,435,60.35
239,20251019,8,178,245.79
239,20251019,8,227,39.60
240,20251124,15,279,273.03
240,20251124,15,490,27.76
241,20251208,12,16,66.09
241,20251208,12,369,158.79
242,20251121,19,220,119.22
242,20251121,19,484,18.96
243,20251209,16,27,157.80
243,20251209,16,315,72.66
244,20251106,8,47,58.92
244,20251106,8,206,265.02
245,20251123,12,215,206.88
245,20251123,12,343,42.14
246,20251210,1,196,54.46
246,20251210,1,460,40.68
247,20251201,19,126,149.24
247,20251201,19,466,158.16
248,20251113,20,61,81.98
248,20251113,20,233,72.58
249,20251122,8,24,72.90
249,20251122,8,147,306.06
250,20251020,18,70,67.15
250,20251020,18,125,35.62
251,20251128,20,302,12.56
251,20251128,20,425,100.12
252,20251017,8,67,207.02
252,20251017,8,97,141.74
253,20251111,9,98,60.15
253,20251111,9,297,159.75
254,20251120,8,392,123.63
254,20251120,8,449,45.44
255,20251018,10,265,34.17
255,20251018,10,310,115.22
256,20251116,3,283,207.44
256,20251116,3,355,249.33
257,20251111,19,208,136.82
257,20251111,19,218,384.80
258,20251114,17,141,107.46
258,20251114,17,333,282.78
259,20251123,12,21,189.40
259,20251123,12,464,154.64
260,20251030,4,227,135.06
260,20251030,4,266,53.62
261,20251017,18,434,225.15
261,20251017,18,466,46.56
262,20251116,11,66,26.66
262,20251116,11,171,16.46
263,20251211,13,43,88.47
263,20251211,13,389,121.92
264,20251201,11,75,201.15
264,20251201,11,295,82.59
265,20251130,19,415,264.68
265,20251130,19,455,205.92
266,20251023,14,312,228.45
266,20251023,14,381,19.53
267,20251214,17,224,401.84
267,20251214,17,471,417.96
268,20251019,10,40,202.89
268,20251019,10,47,170.20
269,20251122,2,302,12.90
269,20251122,2,340,114.24
270,20251209,16,47,123.48
270,20251209,16,207,243.36
271,20251026,18,324,42.24
271,20251026,18,445,288.09
272,20251124,2,102,84.42
272,20251124,2,156,121.82
273,20251211,10,287,302.07
273,20251211,10,382,67.98
274,20251021,3,402,144.94
274,20251021,3,497,251.31
275,20251122,8,242,40.36
275,20251122,8,439,157.92
276,20251203,1,6,295.44
276,20251203,1,345,119.52
277,20251028,17,103,62.86
277,20251028,17,177,42.81
278,20251210,13,198,190.18
278,20251210,13,315,95.26
279,20251021,10,187,84.06
279,20251021,10,332,109.08
280,20251202,10,265,45.42
280,20251202,10,352,8.69
281,20251108,19,17,215.76
281,20251108,19,300,298.98
282,20251121,1,365,208.76
282,20251121,1,416,289.92
283,20251017,6,347,124.78
283,20251017,6,445,61.14
284,20251019,10,263,145.64
284,20251019,10,331,123.27
285,20251115,17,163,43.98
285,20251115,17,379,152.46
286,20251031,6,214,49.37
286,20251031,6,338,33.53
287,20251201,16,106,256.48
287,20251201,16,321,77.56
288,20251114,7,350,215.55
288,20251114,7,466,271.92
289,20251019,14,166,35.16
289,20251019,14,237,225.24
290,20251101,20,348,158.73
290,20251101,20,382,78.78
291,20251114,3,182,200.64
291,20251114,3,382,198.06
292,20251205,14,23,124.70
292,20251205,14,237,100.26
293,20251207,15,173,18.87
293,20251207,15,207,194.24
294,20251025,12,100,223.24
294,20251025,12,433,78.03
295,20251023,4,231,201.69
295,20251023,4,450,206.91
296,20251126,2,92,86.59
296,20251126,2,120,102.72
297,20251025,6,344,259.05
297,20251025,6,419,96.84
298,20251119,10,135,153.75
298,20251119,10,268,176.84
299,20251117,1,35,315.48
299,20251117,1,257,222.84
300,20251017,14,155,98.58
300,20251017,14,159,126.68
301,20251105,17,242,260.88
301,20251105,17,467,45.99
302,20251112,16,14,59.20
302,20251112,16,260,9.01
303,20251102,18,461,279.60
303,20251102,18,482,158.82
304,20251107,6,206,191.62
304,20251107,6,329,30.72
305,20251024,9,197,82.48
305,20251024,9,385,271.71
306,20251115,5,430,167.67
306,20251115,5,469,187.38
307,20251214,17,97,205.16
307,20251214,17,446,177.78
308,20251018,7,38,149.06
308,20251018,7,72,120.52
309,20251215,7,101,65.30
309,20251215,7,256,191.40
310,20251101,14,123,103.69
310,20251101,14,179,314.70
311,20251107,4,31,417.36
311,20251107,4,451,104.01
312,20251021,17,126,148.94
312,20251021,17,381,31.48
313,20251023,3,386,33.82
313,20251023,3,439,30.22
314,20251120,13,101,211.96
314,20251120,13,311,85.59
315,20251122,16,44,70.97
315,20251122,16,303,261.32
316,20251121,4,100,266.34
316,20251121,4,403,19.20
317,20251114,20,397,68.03
317,20251114,20,442,372.64
318,20251119,3,13,291.76
318,20251119,3,412,287.36
319,20251125,16,5,44.36
319,20251125,16,362,239.55
320,20251204,4,24,53.31
320,20251204,4,450,291.54
321,20251114,7,340,257.61
321,20251114,7,442,116.73
322,20251022,12,148,22.61
322,20251022,12,201,244.95
323,20251124,5,5,155.00
323,20251124,5,264,80.61
324,20251207,5,127,87.28
324,20251207,5,286,300.80
325,20251022,11,368,306.30
325,20251022,11,388,314.00
326,20251112,3,100,104.25
326,20251112,3,311,140.44
327,20251112,3,94,5.12
327,20251112,3,451,105.92
328,20251017,6,291,221.04
328,20251017,6,448,13.54
329,20251027,12,266,20.10
329,20251027,12,331,112.62
330,20251126,14,206,48.66
330,20251126,14,343,233.19
331,20251206,12,123,138.96
331,20251206,12,175,124.24
332,20251103,6,285,17.11
332,20251103,6,426,168.46
333,20251117,20,241,29.98
333,20251117,20,355,38.04
334,20251205,6,71,25.32
334,20251205,6,451,288.12
335,20251103,14,158,148.38
335,20251103,14,488,257.55
336,20251115,12,40,141.69
336,20251115,12,325,106.74
337,20251130,6,56,180.84
337,20251130,6,435,257.46
338,20251018,19,25,54.24
338,20251018,19,493,43.20
339,20251128,14,14,86.53
339,20251128,14,500,74.73
340,20251101,8,57,78.00
340,20251101,8,270,306.80
341,20251025,16,189,140.24
341,20251025,16,363,74.17
342,20251024,10,191,171.84
342,20251024,10,222,362.56
343,20251206,9,285,38.49
343,20251206,9,337,13.59
344,20251204,4,272,212.19
344,20251204,4,334,266.37
345,20251202,2,247,61.68
345,20251202,2,455,81.62
346,20251209,11,315,244.56
346,20251209,11,325,280.08
347,20251215,5,223,241.38
347,20251215,5,335,8.07
348,20251119,1,25,72.81
348,20251119,1,406,188.67
349,20251029,20,196,33.97
349,20251029,20,496,46.60
350,20251029,8,183,202.92
350,20251029,8,391,114.99
351,20251030,9,388,109.44
351,20251030,9,393,78.30
352,20251113,15,419,23.36
352,20251113,15,491,106.64
353,20251024,9,147,287.37
353,20251024,9,420,309.63
354,20251103,19,23,44.54
354,20251103,19,486,152.94
355,20251123,7,252,44.35
355,20251123,7,387,252.04
356,20251123,12,175,198.88
356,20251123,12,386,119.20
357,20251124,4,343,84.24
357,20251124,4,480,178.11
358,20251124,14,78,35.94
358,20251124,14,113,21.28
359,20251213,19,300,96.57
359,20251213,19,418,255.21
360,20251209,6,183,74.19
360,20251209,6,237,160.41
361,20251119,13,14,81.84
361,20251119,13,153,34.87
362,20251103,16,65,55.68
362,20251103,16,247,86.38
363,20251022,6,104,179.34
363,20251022,6,245,83.74
364,20251031,18,84,47.76
364,20251031,18,107,163.20
365,20251029,2,118,72.42
365,20251029,2,317,108.04
366,20251110,8,228,264.84
366,20251110,8,437,34.92
367,20251027,10,142,111.92
367,20251027,10,202,98.46
368,20251031,17,96,101.86
368,20251031,17,310,276.81
369,20251127,4,26,109.80
369,20251127,4,167,253.89
370,20251123,15,264,260.43
370,20251123,15,444,94.56
371,20251017,14,183,190.44
371,20251017,14,356,176.76
372,20251110,2,212,11.42
372,20251110,2,446,82.65
373,20251129,4,41,242.13
373,20251129,4,279,17.26
374,20251112,18,182,24.98
374,20251112,18,454,309.28
375,20251128,19,13,140.46
375,20251128,19,240,143.52
376,20251127,11,166,187.26
376,20251127,11,261,12.30
377,20251207,19,146,254.24
377,20251207,19,456,111.18
378,20251214,18,44,213.96
378,20251214,18,125,176.62
379,20251028,11,148,209.04
379,20251028,11,163,48.06
380,20251126,9,289,38.16
380,20251126,9,397,120.87
381,20251115,14,25,78.22
381,20251115,14,311,230.96
382,20251029,18,148,175.58
382,20251029,18,402,221.12
383,20251022,5,39,12.13
383,20251022,5,244,167.76
384,20251021,9,206,121.02
384,20251021,9,497,49.13
385,20251101,16,65,39.28
385,20251101,16,116,216.15
386,20251126,5,231,21.69
386,20251126,5,490,35.00
387,20251022,8,65,205.04
387,20251022,8,106,194.34
388,20251202,13,5,209.64
388,20251202,13,209,195.76
389,20251025,12,187,149.16
389,20251025,12,395,37.36
390,20251130,9,298,144.84
390,20251130,9,431,97.24
391,20251119,11,460,16.41
391,20251119,11,466,276.72
392,20251111,12,352,142.00
392,20251111,12,358,178.96
393,20251019,4,62,89.56
393,20251019,4,238,116.62
394,20251209,2,134,44.24
394,20251209,2,422,22.05
395,20251104,8,15,69.16
395,20251104,8,114,244.86
396,20251023,8,182,30.84
396,20251023,8,344,85.64
397,20251022,17,224,55.23
397,20251022,17,256,156.24
398,20251018,18,271,150.66
398,20251018,18,412,252.32
399,20251209,13,149,206.20
399,20251209,13,399,208.44
400,20251129,14,104,92.70
400,20251129,14,327,392.28
401,20251022,9,339,250.38
401,20251022,9,347,127.46
402,20251030,20,254,57.19
402,20251030,20,279,83.34
403,20251123,12,361,91.62
403,20251123,12,469,33.93
404,20251108,5,337,64.56
404,20251108,5,472,98.84
405,20251109,1,181,132.72
405,20251109,1,274,274.35
406,20251017,2,77,15.12
406,20251017,2,429,22.47
407,20251031,15,55,104.47
407,20251031,15,187,199.74
408,20251102,2,223,138.42
408,20251102,2,295,190.02
409,20251020,15,235,100.46
409,20251020,15,253,15.16
410,20251119,18,166,140.32
410,20251119,18,485,99.66
411,20251202,4,282,41.88
411,20251202,4,413,190.94
412,20251103,4,430,161.56
412,20251103,4,433,285.78
413,20251105,8,78,166.12
413,20251105,8,105,160.16
414,20251126,5,422,157.00
414,20251126,5,484,99.08
415,20251116,10,98,80.92
415,20251116,10,408,11.37
416,20251030,6,128,357.24
416,20251030,6,237,14.86
417,20251212,11,17,205.98
417,20251212,11,137,80.35
418,20251128,15,315,61.76
418,20251128,15,384,84.69
419,20251120,15,115,176.20
419,20251120,15,167,16.30
420,20251117,12,296,46.59
420,20251117,12,433,382.28
421,20251209,14,34,174.52
421,20251209,14,117,193.14
422,20251113,18,55,103.24
422,20251113,18,153,93.34
423,20251126,17,200,203.72
423,20251126,17,422,106.11
424,20251028,16,63,28.93
424,20251028,16,491,103.29
425,20251123,19,274,65.37
425,20251123,19,361,34.46
426,20251213,6,140,46.12
426,20251213,6,253,200.88
427,20251125,18,134,142.94
427,20251125,18,471,113.72
428,20251027,17,110,186.90
428,20251027,17,236,204.48
429,20251027,10,97,132.90
429,20251027,10,154,208.66
430,20251026,13,256,72.21
430,20251026,13,431,402.96
431,20251130,8,35,17.56
431,20251130,8,123,162.24
432,20251115,17,302,37.92
432,20251115,17,400,35.42
433,20251107,13,295,124.05
433,20251107,13,349,303.80
434,20251024,11,297,304.80
434,20251024,11,347,137.18
435,20251127,6,258,201.90
435,20251127,6,316,241.29
436,20251110,17,363,40.47
436,20251110,17,412,105.18
437,20251205,1,196,175.82
437,20251205,1,423,202.32
438,20251213,20,96,119.42
438,20251213,20,236,21.68
439,20251018,18,149,180.68
439,20251018,18,237,173.28
440,20251210,13,41,46.26
440,20251210,13,55,299.46
441,20251124,4,286,192.76
441,20251124,4,430,88.14
442,20251116,14,58,102.23
442,20251116,14,208,144.38
443,20251207,1,52,284.52
443,20251207,1,384,76.08
444,20251104,13,32,261.87
444,20251104,13,96,173.64
445,20251101,8,211,18.21
445,20251101,8,468,212.20
446,20251123,18,192,207.46
446,20251123,18,317,65.34
447,20251031,14,445,154.66
447,20251031,14,496,125.07
448,20251028,9,225,230.61
448,20251028,9,307,88.29
449,20251106,15,221,36.82
449,20251106,15,363,285.72
450,20251109,18,64,69.87
450,20251109,18,247,296.58
451,20251020,13,179,276.60
451,20251020,13,386,72.12
452,20251126,4,54,145.80
452,20251126,4,308,28.92
453,20251022,13,45,103.39
453,20251022,13,83,184.42
454,20251128,2,4,46.11
454,20251128,2,252,25.91
455,20251208,4,28,135.66
455,20251208,4,190,99.24
456,20251107,1,224,30.36
456,20251107,1,443,148.80
457,20251018,19,253,157.02
457,20251018,19,306,37.23
458,20251027,5,95,162.04
458,20251027,5,155,92.66
459,20251215,11,52,139.00
459,20251215,11,71,88.68
460,20251117,20,173,192.26
460,20251117,20,486,175.02
461,20251020,12,151,299.34
461,20251020,12,232,40.06
462,20251023,7,242,287.07
462,20251023,7,335,101.24
463,20251127,19,278,296.40
463,20251127,19,391,37.12
464,20251104,18,150,397.04
464,20251104,18,205,160.58
465,20251116,15,351,130.52
465,20251116,15,458,285.54
466,20251214,19,394,67.39
466,20251214,19,419,15.21
467,20251209,2,294,56.28
467,20251209,2,312,97.17
468,20251202,12,68,301.95
468,20251202,12,299,74.98
469,20251124,3,325,310.41
469,20251124,3,448,25.85
470,20251024,2,144,176.10
470,20251024,2,401,69.50
471,20251124,13,73,260.48
471,20251124,13,113,52.94
472,20251026,6,241,29.72
472,20251026,6,270,114.52
473,20251126,11,45,67.80
473,20251126,11,436,48.21
474,20251127,4,228,182.28
474,20251127,4,379,94.27
475,20251105,19,120,124.16
475,20251105,19,276,105.36
476,20251128,9,298,262.59
476,20251128,9,475,103.32
477,20251021,3,125,72.57
477,20251021,3,347,53.67
478,20251021,14,228,86.90
478,20251021,14,321,10.56
479,20251106,11,242,191.90
479,20251106,11,266,139.20
480,20251117,13,51,87.66
480,20251117,13,445,191.88
481,20251022,4,226,195.12
481,20251022,4,400,121.48
482,20251019,4,299,67.08
482,20251019,4,323,86.44
483,20251114,2,152,170.82
483,20251114,2,346,5.06
484,20251031,2,65,89.12
484,20251031,2,254,97.98
485,20251110,20,108,165.14
485,20251110,20,384,128.04
486,20251026,13,333,97.76
486,20251026,13,336,300.00
487,20251031,10,316,169.17
487,20251031,10,432,108.84
488,20251211,7,78,335.00
488,20251211,7,417,145.53
489,20251108,5,200,117.21
489,20251108,5,342,94.06
490,20251023,15,302,135.51
490,20251023,15,351,62.31
491,20251117,5,137,140.56
491,20251117,5,311,262.56
492,20251120,4,249,289.95
492,20251120,4,480,184.62
493,20251114,11,309,33.52
493,20251114,11,324,55.10
494,20251201,15,262,378.68
494,20251201,15,286,23.88
495,20251208,15,63,128.10
495,20251208,15,255,127.02
496,20251121,2,56,298.23
496,20251121,2,137,247.89
497,20251130,13,100,167.28
497,20251130,13,251,273.03
498,20251214,19,24,264.52
498,20251214,19,331,115.56
